구별,전체가구수,1인,2인,3인,4인이상,평균가구원수,1인가구비율,2인가구비율,인구수,내국인,외국인,고령자,외국인비율,고령자비율,오차
종로구,62652,24671,16208,11154,10619,2.2,39.37783310987678,25.869884441039392,159842,149952,9890,28396,6.187360018017793,17.765042979942695,1.9068110432408698
중구,54496,22078,14578,9540,8300,2.1,40.51306517909571,26.750587199060483,135321,125800,9521,24265,7.035862874202821,17.93143710141072,1.454604934135805
용산구,93177,35148,25164,17439,15426,2.2,37.72175536881419,27.00666473485946,244953,229786,15167,39995,6.191800059603271,16.32762203361461,0.3290774285530489
성동구,122770,41488,32125,25634,23523,2.3,33.793271971980126,26.1668159973935,302695,295591,7104,45372,2.346916863509473,14.989345711029253,1.0774491347269315
광진구,149905,58714,35678,28054,27459,2.2,39.16747273273073,23.800406924385445,361923,348064,13859,50047,3.8292675513852394,13.828079453364388,0.5765641332288691
동대문구,148349,58152,36060,27436,26701,2.2,39.19945533842493,24.30754504580415,358679,344416,14263,61408,3.9765361228284903,17.12060087153137,2.3597465702732467
중랑구,160776,52196,44057,33160,31363,2.3,32.465044534010055,27.40272179927352,400989,395997,4992,68658,1.2449219305267725,17.122165445934925,0.18727792413504574
성북구,176729,57832,44443,37033,37421,2.4,32.72354848383684,25.147542282251358,449871,439719,10152,73370,2.256646905446228,16.309119725432403,0.9582565029866483
강북구,128012,42791,35439,25967,23815,2.3,33.42733493734962,27.684123363434676,313550,309996,3554,62951,1.1334715356402487,20.076861744538352,2.94431948521402
도봉구,126831,32653,36329,29580,28269,2.5,25.74528309325007,28.643628135077385,329300,327248,2052,61388,0.6231399939265108,18.641967810507136,0.8354752682203248
노원구,201458,53365,52832,46783,48478,2.5,26.489392329914917,26.224821054512603,529532,525486,4046,84612,0.7640709154498689,15.97863774049538,0.12889950260370142
은평구,184890,52814,52257,40789,39030,2.4,28.56509275785602,28.26383254908324,485842,481546,4296,84353,0.8842380856327778,17.362228872761104,0.1774975728752075
서대문구,128635,46449,32581,25283,24322,2.3,36.10914603335018,25.328254363120458,323860,313212,10648,53869,3.287840424874946,16.633421848947076,1.1556275661919937
마포구,156885,59248,39471,29985,28181,2.2,37.76524205628326,25.15919303948752,383494,373508,9986,54053,2.603952082692298,14.09487501760132,1.2641716254673412
양천구,162867,36345,41435,40897,44190,2.6,22.315754572749544,25.44100400940645,460048,456240,3808,64804,0.8277397141167878,14.086356206308906,1.470632738384408
강서구,240135,79371,63517,49322,47925,2.3,33.05265787994253,26.450538238907285,589536,583544,5992,88052,1.0163925527872768,14.935813928241872,1.3302656846172436
구로구,160378,47740,43700,34624,34314,2.4,29.767175048946864,27.24812630161244,435751,405579,30172,69312,6.924137867727211,15.906331827121454,0.9199687626770032
금천구,99315,37778,25207,18771,17559,2.2,38.03856416452701,25.380858883350953,249641,232157,17484,39361,7.003657251813604,15.767041471553151,0.25229809553430727
영등포구,153923,58214,38671,29661,27377,2.2,37.82020880570155,25.123600761419674,405982,375630,30352,60826,7.476193525821342,14.982437645018745,0.35160919962886616
동작구,164963,60088,40739,32514,31622,2.3,36.42513775816395,24.695840885531908,404617,393554,11063,64674,2.734190604942452,15.984004626597498,0.9504137024566646
관악구,242154,119863,55423,34875,31993,2.0,49.498666138077425,22.88750134212113,514555,498574,15981,78206,3.105790440283352,15.198763980526863,1.4353396912923149
서초구,155377,42667,38892,35327,38491,2.5,27.46030622292875,25.030731704177583,429995,426009,3986,59495,0.9269875231107338,13.83620739776044,1.4326087890973103
강남구,206524,66073,51560,43435,45456,2.4,31.992891867289032,24.965621428986463,544085,539235,4850,73942,0.8914048356414899,13.590155949897534,1.6329271779013261
송파구,252212,68861,65402,57821,60128,2.5,27.302824607869567,25.931359332624936,676673,670331,6342,92149,0.9372326071824943,13.61795135907595,2.2834601654753808
강동구,162976,45188,43297,36735,37756,2.5,27.726781857451403,26.566488317298255,462275,458058,4217,68798,0.9122275701692715,14.882483370288249,1.4650388684447648
